AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d205@6	We investigate whether PROTEINT1 which bind to tyrosine-phosphorylated PROTEINT2 interact with PROTEINT0 follow T cell activation
AIMed_d205@7	PROTEINT0 activity and the regulatory PROTEINT0 subunit of PROTEINT1 associate with PROTEINT2 in pervanadate-stimulated but not in unstimulated thymocyte
AIMed_d205@10	A PROTEINT1 PROTEINT0 associate with PROTEINT2 and specifically with the Y429-Y441 phosphopeptide in stimulate thymocyte
AIMed_d205@10	A PROTEINT0 PROTEINT1 associate with PROTEINT2 and specifically with the Y429-Y441 phosphopeptide in stimulate thymocyte
AIMed_d205@11	We conclude that stimulation of thymocyte with pervanadate induce the recruitment of PROTEINT1 and PROTEINT0 to PROTEINT2
AIMed_d205@11	We conclude that stimulation of thymocyte with pervanadate induce the recruitment of PROTEINT0 and PROTEINT1 to PROTEINT2
AIMed_d112@1	Human spleen tyrosine kinase PROTEINT1 associate with the Src-family kinase PROTEINT2 PROTEINT0 and a PROTEINT0
AIMed_d112@1	Human spleen tyrosine kinase PROTEINT1 associate with the Src-family kinase PROTEINT0 PROTEINT2 and a PROTEINT0
AIMed_d112@1	Human spleen tyrosine kinase PROTEINT1 associate with the Src-family kinase PROTEINT0 PROTEINT0 and a PROTEINT2
AIMed_d112@3	Here we show that PROTEINT1 and PROTEINT2 from human B lymphocyte can interact directly
AIMed_d112@4	PROTEINT1 and PROTEINT2 coimmunoprecipitate from mature and activate B-cell line and gel-purified PROTEINT0 and PROTEINT0 reassociate in vitro demonstrate their direct interaction
AIMed_d112@4	PROTEINT0 and PROTEINT0 coimmunoprecipitate from mature and activate B-cell line and gel-purified PROTEINT1 and PROTEINT2 reassociate in vitro demonstrate their direct interaction
AIMed_d112@5	This PROTEINT1 PROTEINT2 interaction may be dependent on the stage of B-cell differentiation since PROTEINT0 PROTEINT0 association be not detect in pre-B and myeloma cell line and PROTEINT0 from an immature B-cell line do not reassociate with PROTEINT0 in vitro
AIMed_d112@5	This PROTEINT0 PROTEINT0 interaction may be dependent on the stage of B-cell differentiation since PROTEINT1 PROTEINT2 association be not detect in pre-B and myeloma cell line and PROTEINT0 from an immature B-cell line do not reassociate with PROTEINT0 in vitro
AIMed_d112@9	Sequential immunoprecipitation identify the 72-kDa protein associate with PROTEINT1 as PROTEINT2
AIMed_d112@10	The 120-kDa serine/threonine phosphorylate protein that coprecipitate with PROTEINT0 resemble the PROTEINT1 associate PROTEINT2 by several criterion
AIMed_d112@11	Thus PROTEINT1 may serve as a link between PROTEINT2 and PROTEINT0 couple the B-cell antigen receptor to the phosphatidylinositol pathway
AIMed_d112@11	Thus PROTEINT1 may serve as a link between PROTEINT0 and PROTEINT2 couple the B-cell antigen receptor to the phosphatidylinositol pathway
AIMed_d112@11	Thus PROTEINT0 may serve as a link between PROTEINT1 and PROTEINT2 couple the B-cell antigen receptor to the phosphatidylinositol pathway
AIMed_d169@5	We have clone a cDNA encode an PROTEINT1 binding protein PROTEINT2 from the Caki-1 human renal carcinoma cell line
AIMed_d169@8	COS-7 cell transfecte with the PROTEINT1 cDNA bind PROTEINT2 with high affinity but do not bind PROTEINT0
AIMed_d66@3	PROTEINT1 show genetic interaction with the PROTEINT2 gene suggest that it function at START by interact with the PROTEINT0 protein
AIMed_d66@3	PROTEINT1 show genetic interaction with the PROTEINT0 gene suggest that it function at START by interact with the PROTEINT2 protein
AIMed_d66@6	PROTEINT1 produce in E coli bind and activate the PROTEINT2 protein in extract from human G1 cell and antibody against PROTEINT0 immunoprecipitate a histone H1 kinase from HeLa cell
AIMed_d66@7	The interaction between PROTEINT1 and PROTEINT2 or PROTEINT0 may be important at the G1 to S transition in human cell
AIMed_d66@7	The interaction between PROTEINT1 and PROTEINT0 or PROTEINT2 may be important at the G1 to S transition in human cell
AIMed_d202@1	Crystal structure of the PROTEINT1 PROTEINT0 complexe with PROTEINT2
AIMed_d202@5	The binding of PROTEINT1 or PROTEINT0 to PROTEINT2 be an early step in PROTEINT0 signal transduction and block this interaction may therefore be a useful target for the development of new drug
AIMed_d202@5	The binding of PROTEINT0 or PROTEINT1 to PROTEINT2 be an early step in PROTEINT0 signal transduction and block this interaction may therefore be a useful target for the development of new drug
AIMed_d202@6	Here we report the three-dimensional structure of PROTEINT1 bind to the extracellular domain of PROTEINT2 PROTEINT0 at 2.5 A resolution
AIMed_d202@6	Here we report the three-dimensional structure of PROTEINT1 bind to the extracellular domain of PROTEINT0 PROTEINT2 at 2.5 A resolution
AIMed_d202@7	PROTEINT1 bind to PROTEINT2 with a 1:1 stoichiometry
AIMed_d202@8	The crystal structure show that PROTEINT1 consist of three immunoglobulin-like domain which wrap around PROTEINT2 in a manner distinct from the structure of previously describe cytokine-receptor complex
AIMed_d115@1	Interaction with PROTEINT1 subunit of PROTEINT0 be require for transcriptional activation by PROTEINT2
AIMed_d115@4	Use a yeast interaction assay we find that PROTEINT1 bind the PROTEINT2 subunit of PROTEINT0 and that PROTEINT0 s transcriptional activation domain be the region involve in this binding
AIMed_d115@7	The correlation of PROTEINT1 PROTEINT2 binding with transcriptional activation suggest that PROTEINT0 be a critical target for PROTEINT0 activate transcription
AIMed_d115@7	The correlation of PROTEINT0 PROTEINT0 binding with transcriptional activation suggest that PROTEINT1 be a critical target for PROTEINT2 activate transcription
AIMed_d82@3	Previously a mammalian protein that directly associate with PROTEINT1 rapamycin have be identify and its encoding gene have be clone from both human designate PROTEINT2 Brown E.J Albers M.W Shin T.B Ichikawa K Keith C.T Lane W.S Schreiber S.L 1994 Nature London 369 756-758 and rat designate PROTEINT0 Sabatini D.M Erdjument-Bromage H Lui M Tempst P Snyder S.H 1994 Cell 78 35-43
AIMed_d82@5	Use an in vitro transcription/translation assay method couple with proteolysis study we have identify an 11-kDa PROTEINT1 rapamycin-binding domain within PROTEINT2
AIMed_d120@1	Specific binding of the transglutaminase PROTEINT1 to PROTEINT2
AIMed_d120@8	Immunoblotting study be use to confirm the binding of PROTEINT1 from fresh platelet lysate to the PROTEINT2 fusion protein
AIMed_d120@9	PROTEINT1 also be show to coprecipitate with PROTEINT2 in immunoprecipitation study and to colocalize with PROTEINT0 in immunofluorescence study of intact glass-activated platelet
AIMed_d120@10	The datum thus demonstrate specific binding of platelet PROTEINT1 to PROTEINT2 and suggest that PROTEINT0 may participate in the cellular localization and/or enzymatic regulation of platelet PROTEINT0
AIMed_d120@10	The datum thus demonstrate specific binding of platelet PROTEINT0 to PROTEINT0 and suggest that PROTEINT1 may participate in the cellular localization and/or enzymatic regulation of platelet PROTEINT2
AIMed_d53@3	Kaposi' sarcoma-associated herpesvirus encode a functional homolog of human PROTEINT1 PROTEINT0 that activate human PROTEINT2
AIMed_d53@3	Kaposi' sarcoma-associated herpesvirus encode a functional homolog of human PROTEINT0 PROTEINT1 that activate human PROTEINT2
AIMed_d53@4	In the 2.4 angstrom crystal structure of the extracellular signaling assembly between viral PROTEINT1 and human PROTEINT2 two complex be cross-linked into a tetramer through direct interaction between the immunoglobulin domain of PROTEINT0 and site III of viral PROTEINT0 which be necessary for receptor activation
AIMed_d53@4	In the 2.4 angstrom crystal structure of the extracellular signaling assembly between viral PROTEINT0 and human PROTEINT0 two complex be cross-linked into a tetramer through direct interaction between the immunoglobulin domain of PROTEINT1 and site III of viral PROTEINT2 which be necessary for receptor activation
AIMed_d53@5	Unlike human PROTEINT1 which use many hydrophilic residue the viral cytokine largely use hydrophobic amino acid to contact PROTEINT2 which enhance the complementarity of the viral PROTEINT0 PROTEINT0 binding interface
AIMed_d53@5	Unlike human PROTEINT0 which use many hydrophilic residue the viral cytokine largely use hydrophobic amino acid to contact PROTEINT0 which enhance the complementarity of the viral PROTEINT1 PROTEINT2 binding interface
AIMed_d85@1	PROTEINT1 physically associate with PROTEINT2 through Src homology 3 domain
AIMed_d85@4	Study in vivo and in vitro demonstrate a highly specific interaction between the SH3 domain of PROTEINT1 and PROTEINT2
AIMed_d85@7	The main PROTEINT1 region implicate in the association with PROTEINT2 be find to be the carboxy-terminal SH3 domain
AIMed_d127@1	Interaction of PROTEINT1 and gamma c chain with PROTEINT2 and PROTEINT0 implication for XSCID and XCID
AIMed_d127@1	Interaction of PROTEINT1 and gamma c chain with PROTEINT0 and PROTEINT2 implication for XSCID and XCID
AIMed_d127@5	PROTEINT1 and PROTEINT0 associate with PROTEINT2 and gamma c respectively PROTEINT0 induce PROTEINT0 PROTEINT0 and increase PROTEINT0 gamma c association
AIMed_d127@5	PROTEINT0 and PROTEINT1 associate with PROTEINT2 and gamma c respectively PROTEINT0 induce PROTEINT0 PROTEINT0 and increase PROTEINT0 gamma c association
AIMed_d127@5	PROTEINT0 and PROTEINT0 associate with PROTEINT0 and gamma c respectively PROTEINT0 induce PROTEINT1 PROTEINT2 and increase PROTEINT0 gamma c association
AIMed_d54@1	PROTEINT1 PROTEINT0 a novel growth factor that bind to PROTEINT2 and beta receptor
AIMed_d54@1	PROTEINT0 PROTEINT1 a novel growth factor that bind to PROTEINT2 and beta receptor
AIMed_d54@5	Competition binding and immunoprecipitation study on cell bear both PROTEINT0 and beta receptor reveal a high affinity binding of recombinant GFD PROTEINT1 to PROTEINT2 homodimer and PROTEINT0 beta heterodimer
AIMed_d54@5	Competition binding and immunoprecipitation study on cell bear both PROTEINT0 and beta receptor reveal a high affinity binding of recombinant GFD PROTEINT1 to PROTEINT0 homodimer and PROTEINT2 beta heterodimer
AIMed_d28@3	We have identify a new TNF-related ligand designate human PROTEINT1 PROTEINT0 PROTEINT2 and its human receptor PROTEINT0 an ortholog of the recently discover murine PROTEINT0 PROTEINT0 4
AIMed_d28@3	We have identify a new TNF-related ligand designate human PROTEINT0 PROTEINT1 PROTEINT0 and its human receptor PROTEINT2 an ortholog of the recently discover murine PROTEINT0 PROTEINT0 4
AIMed_d28@3	We have identify a new TNF-related ligand designate human PROTEINT0 PROTEINT0 PROTEINT1 and its human receptor PROTEINT2 an ortholog of the recently discover murine PROTEINT0 PROTEINT0 4
AIMed_d129@12	These antibody specifically immunoprecipitate PROTEINT1 in complex with PROTEINT2 in all tissue test and can be use to immunoaffinity isolate progesterone receptor complex from chicken oviduct cytosol
AIMed_d184@1	PROTEINT1 induce interaction of primary HIV-1 PROTEINT2 glycoprotein with the chemokine receptor PROTEINT0
AIMed_d184@3	Here we show that a complex of PROTEINT1 the exterior envelope glycoprotein of macrophage-tropic primary HIV-1 and soluble PROTEINT2 interact specifically with PROTEINT0 and inhibit the binding of the natural PROTEINT0 ligand PROTEINT0 and PROTEINT0 ref 7 8
AIMed_d184@3	Here we show that a complex of PROTEINT1 the exterior envelope glycoprotein of macrophage-tropic primary HIV-1 and soluble PROTEINT0 interact specifically with PROTEINT2 and inhibit the binding of the natural PROTEINT0 ligand PROTEINT0 and PROTEINT0 ref 7 8
AIMed_d184@3	Here we show that a complex of PROTEINT0 the exterior envelope glycoprotein of macrophage-tropic primary HIV-1 and soluble PROTEINT1 interact specifically with PROTEINT2 and inhibit the binding of the natural PROTEINT0 ligand PROTEINT0 and PROTEINT0 ref 7 8
AIMed_d184@4	The apparent affinity of the interaction between PROTEINT1 and PROTEINT2 be dramatically low in the absence of soluble PROTEINT0
AIMed_d184@5	Additionally in the absence of PROTEINT0 an interaction between a two-domain PROTEINT1 fragment and PROTEINT2 be observe
AIMed_d184@6	A PROTEINT1 fragment retain the PROTEINT2 bind site and overlap epitope be able to interact with PROTEINT0 only if the V3 loop which can specify HIV-1 tropism and chemokine receptor choice be also present on the molecule
AIMed_d184@6	A PROTEINT1 fragment retain the PROTEINT0 bind site and overlap epitope be able to interact with PROTEINT2 only if the V3 loop which can specify HIV-1 tropism and chemokine receptor choice be also present on the molecule
AIMed_d184@7	Neutralize antibody direct against either PROTEINT0 induce or V3 epitope on PROTEINT0 block the interaction of PROTEINT1 PROTEINT2 complex with PROTEINT0
AIMed_d184@7	Neutralize antibody direct against either PROTEINT0 induce or V3 epitope on PROTEINT0 block the interaction of PROTEINT1 PROTEINT0 complex with PROTEINT2
AIMed_d184@7	Neutralize antibody direct against either PROTEINT0 induce or V3 epitope on PROTEINT0 block the interaction of PROTEINT0 PROTEINT1 complex with PROTEINT2
AIMed_d152@1	PROTEINT1 PROTEINT2 and PROTEINT0 PROTEINT0 interaction define two distinct PROTEINT0 signal transduction pathway
AIMed_d152@1	PROTEINT0 PROTEINT0 and PROTEINT1 PROTEINT2 interaction define two distinct PROTEINT0 signal transduction pathway
AIMed_d152@4	Here we show that PROTEINT1 directly interact with PROTEINT2 and PROTEINT0 signal transducer that activate PROTEINT0 and induce apoptosis respectively
AIMed_d152@4	Here we show that PROTEINT1 directly interact with PROTEINT0 and PROTEINT2 signal transducer that activate PROTEINT0 and induce apoptosis respectively
AIMed_d152@4	Here we show that PROTEINT0 directly interact with PROTEINT1 and PROTEINT0 signal transducer that activate PROTEINT2 and induce apoptosis respectively
AIMed_d152@4	Here we show that PROTEINT0 directly interact with PROTEINT0 and PROTEINT1 signal transducer that activate PROTEINT2 and induce apoptosis respectively
AIMed_d183@1	The cytokine-activated tyrosine kinase PROTEINT1 activate PROTEINT2 in a PROTEINT0 dependent manner
AIMed_d183@2	PROTEINT1 a member of the Janus kinase superfamily be find to interact functionally with PROTEINT2 a central component of the PROTEINT0 PROTEINT0 signal transduction pathway
AIMed_d183@3	PROTEINT1 and several other cytokine that be know to activate PROTEINT0 PROTEINT2 be also find to stimulate PROTEINT0 PROTEINT0 activity toward PROTEINT0 in mammalian cell
AIMed_d183@3	PROTEINT0 and several other cytokine that be know to activate PROTEINT0 PROTEINT0 be also find to stimulate PROTEINT0 PROTEINT1 activity toward PROTEINT2 in mammalian cell
AIMed_d183@4	In the baculovirus coexpression system PROTEINT1 be activate by PROTEINT2 in the presence of PROTEINT0
AIMed_d183@5	Under these condition a ternary complex of PROTEINT1 PROTEINT2 and PROTEINT0 be observe
AIMed_d183@7	In addition PROTEINT1 phosphorylate PROTEINT2 at site different from those phosphorylate by PROTEINT0
AIMed_d183@7	In addition PROTEINT0 phosphorylate PROTEINT1 at site different from those phosphorylate by PROTEINT2
AIMed_d183@8	In mammalian cell treat with either erythropoietin or interferon-gamma a small fraction of PROTEINT1 coimmunoprecipitate with PROTEINT2 in lysate of cell in which PROTEINT0 be activate as judge by its state of tyrosine phosphorylation
AIMed_d183@9	Take together these datum suggest that PROTEINT1 and PROTEINT2 cooperate to activate PROTEINT0
AIMed_d177@9	We have select such mutation in the transcription factor PROTEINT1 that affect its ability to heterodimerize with PROTEINT2
AIMed_d78@7	Here we demonstrate that PROTEINT1 specifically bind two cellular ligand PROTEINT2 PROTEINT0 and PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0
